,Rk,School,Conference,AP Rank,Year,Wins,Loses,Ties,OSRS,DSRS,SRS,Offensive Scoring,Defensive Scoring,Offensive Passing,Offensive Rushing,Defensive Rushing
0,1.0,133.0,55.0,0.0,1935.0,8.0,0.0,0.0,13.75,7.04,20.79,36.04,-5.87,0.0,0.0,0.0
1,2.0,158.0,55.0,0.0,1935.0,7.0,1.0,0.0,14.23,6.02,20.25,43.28,-5.42,0.0,0.0,0.0
2,3.0,180.0,45.0,0.0,1935.0,12.0,1.0,0.0,8.38,10.4,18.78,32.95,-8.65,0.0,0.0,0.0
3,4.0,57.0,47.0,0.0,1935.0,8.0,2.0,0.0,9.63,8.02,17.65,33.89,-8.12,0.0,0.0,0.0
4,5.0,105.0,41.0,0.0,1935.0,9.0,2.0,0.0,6.99,10.65,17.64,32.99,-11.31,0.0,0.0,0.0
5,6.0,12.0,41.0,0.0,1935.0,8.0,2.0,0.0,8.19,9.34,17.53,32.75,-9.68,0.0,0.0,0.0
6,7.0,204.0,45.0,0.0,1935.0,12.0,1.0,0.0,10.81,6.65,17.46,32.71,-5.84,0.0,0.0,0.0
7,8.0,147.0,47.0,0.0,1935.0,8.0,1.0,0.0,11.37,6.08,17.44,41.56,-4.67,0.0,0.0,0.0
8,9.0,172.0,24.0,0.0,1935.0,9.0,0.0,0.0,10.1,7.2,17.3,35.1,-7.21,0.0,0.0,0.0
9,10.0,196.0,35.0,0.0,1935.0,8.0,1.0,0.0,5.34,11.65,16.98,26.88,-11.23,0.0,0.0,0.0
10,11.0,2.0,41.0,0.0,1935.0,6.0,2.0,1.0,7.74,8.39,16.14,33.06,-8.82,0.0,0.0,0.0
11,12.0,156.0,24.0,0.0,1935.0,7.0,1.0,1.0,8.74,7.32,16.06,29.44,-7.76,0.0,0.0,0.0
12,13.0,131.0,24.0,0.0,1935.0,6.0,2.0,0.0,9.03,5.64,14.66,34.49,-4.39,0.0,0.0,0.0
13,14.0,120.0,24.0,0.0,1935.0,7.0,1.0,0.0,10.85,3.4,14.26,33.17,-3.51,0.0,0.0,0.0
14,15.0,26.0,35.0,0.0,1935.0,9.0,1.0,0.0,4.39,9.79,14.18,28.0,-7.25,0.0,0.0,0.0
15,16.0,215.0,35.0,0.0,1935.0,8.0,2.0,0.0,8.69,4.62,13.31,29.87,-3.93,0.0,0.0,0.0
16,17.0,140.0,11.0,0.0,1935.0,6.0,2.0,1.0,8.4,4.85,13.25,28.81,-4.08,0.0,0.0,0.0
17,18.0,177.0,45.0,0.0,1935.0,8.0,3.0,0.0,8.51,4.09,12.6,31.13,-3.71,0.0,0.0,0.0
18,19.0,168.0,24.0,0.0,1935.0,7.0,1.0,2.0,3.44,8.58,12.03,24.59,-7.38,0.0,0.0,0.0
19,20.0,182.0,24.0,0.0,1935.0,5.0,2.0,2.0,3.82,7.83,11.64,24.72,-6.17,0.0,0.0,0.0
20,21.0,75.0,41.0,0.0,1935.0,6.0,4.0,0.0,6.84,4.63,11.47,30.39,-5.48,0.0,0.0,0.0
21,22.0,228.0,35.0,0.0,1935.0,5.0,3.0,0.0,5.46,5.96,11.42,26.13,-5.85,0.0,0.0,0.0
22,23.0,221.0,41.0,0.0,1935.0,7.0,3.0,0.0,6.31,5.06,11.37,29.61,-5.43,0.0,0.0,0.0
23,24.0,96.0,55.0,0.0,1935.0,4.0,2.0,2.0,4.62,6.72,11.34,27.85,-5.15,0.0,0.0,0.0
24,25.0,104.0,41.0,0.0,1935.0,5.0,4.0,0.0,6.22,4.76,10.98,32.25,-5.99,0.0,0.0,0.0
25,26.0,199.0,24.0,0.0,1935.0,7.0,3.0,0.0,6.13,4.64,10.78,28.93,-4.63,0.0,0.0,0.0
26,27.0,11.0,24.0,0.0,1935.0,6.0,2.0,1.0,5.75,4.71,10.47,30.84,-3.67,0.0,0.0,0.0
27,28.0,7.0,7.0,0.0,1935.0,7.0,2.0,0.0,6.37,3.27,9.64,31.43,-1.31,0.0,0.0,0.0
28,29.0,154.0,55.0,0.0,1935.0,4.0,3.0,1.0,4.38,5.0,9.37,25.16,-4.6,0.0,0.0,0.0
29,30.0,72.0,24.0,0.0,1935.0,8.0,1.0,0.0,5.78,3.56,9.35,32.56,-1.47,0.0,0.0,0.0
30,31.0,134.0,41.0,0.0,1935.0,8.0,3.0,0.0,5.33,3.75,9.07,27.44,-4.1,0.0,0.0,0.0
31,32.0,68.0,24.0,0.0,1935.0,6.0,1.0,2.0,2.26,6.19,8.46,23.73,-3.9,0.0,0.0,0.0
32,33.0,145.0,24.0,0.0,1935.0,7.0,1.0,0.0,8.23,0.19,8.42,32.24,3.62,0.0,0.0,0.0
33,34.0,222.0,24.0,0.0,1935.0,7.0,2.0,0.0,7.27,1.04,8.31,28.62,1.23,0.0,0.0,0.0
34,35.0,159.0,11.0,0.0,1935.0,6.0,3.0,0.0,1.66,6.16,7.83,21.23,-5.37,0.0,0.0,0.0
35,36.0,50.0,24.0,0.0,1935.0,8.0,2.0,0.0,5.29,2.47,7.76,35.75,-0.96,0.0,0.0,0.0
36,37.0,9.0,45.0,0.0,1935.0,5.0,5.0,0.0,5.05,2.48,7.53,27.82,-1.89,0.0,0.0,0.0
37,38.0,139.0,24.0,0.0,1935.0,5.0,4.0,0.0,5.32,2.03,7.35,27.23,-3.06,0.0,0.0,0.0
38,39.0,173.0,55.0,0.0,1935.0,4.0,4.0,0.0,1.23,6.11,7.35,22.06,-5.4,0.0,0.0,0.0
39,40.0,167.0,24.0,0.0,1935.0,4.0,4.0,0.0,6.29,1.06,7.34,34.07,-0.71,0.0,0.0,0.0
40,41.0,79.0,41.0,0.0,1935.0,5.0,5.0,0.0,6.37,0.9,7.27,30.49,-2.47,0.0,0.0,0.0
41,42.0,185.0,24.0,0.0,1935.0,5.0,3.0,0.0,3.37,3.78,7.15,23.2,-1.42,0.0,0.0,0.0
42,43.0,211.0,41.0,0.0,1935.0,6.0,4.0,0.0,4.44,2.7,7.14,27.87,-1.64,0.0,0.0,0.0
43,44.0,162.0,41.0,0.0,1935.0,9.0,3.0,0.0,5.3,1.59,6.88,32.37,-0.19,0.0,0.0,0.0
44,45.0,187.0,24.0,0.0,1935.0,3.0,6.0,0.0,2.35,4.54,6.88,22.46,-3.96,0.0,0.0,0.0
45,46.0,244.0,24.0,0.0,1935.0,6.0,3.0,0.0,5.41,1.4,6.81,29.69,-1.76,0.0,0.0,0.0
46,47.0,163.0,35.0,0.0,1935.0,6.0,3.0,0.0,0.37,6.12,6.5,19.72,-4.71,0.0,0.0,0.0
47,48.0,243.0,24.0,0.0,1935.0,6.0,3.0,0.0,1.12,5.25,6.37,24.94,-3.12,0.0,0.0,0.0
48,49.0,41.0,24.0,0.0,1935.0,5.0,3.0,0.0,2.88,3.47,6.35,27.54,-1.29,0.0,0.0,0.0
49,50.0,15.0,45.0,0.0,1935.0,8.0,3.0,0.0,-0.38,6.19,5.81,20.43,-3.99,0.0,0.0,0.0
50,51.0,92.0,55.0,0.0,1935.0,3.0,5.0,0.0,-1.6,7.24,5.64,18.3,-7.82,0.0,0.0,0.0
51,52.0,164.0,35.0,0.0,1935.0,6.0,4.0,1.0,3.99,1.48,5.47,24.62,0.97,0.0,0.0,0.0
52,53.0,230.0,30.0,0.0,1935.0,6.0,4.0,0.0,8.41,-3.05,5.37,28.55,5.62,0.0,0.0,0.0
53,54.0,94.0,55.0,0.0,1935.0,4.0,3.0,1.0,-0.71,5.74,5.03,19.4,-5.14,0.0,0.0,0.0
54,55.0,38.0,47.0,0.0,1935.0,6.0,3.0,0.0,4.87,0.11,4.98,27.34,0.86,0.0,0.0,0.0
55,56.0,55.0,24.0,0.0,1935.0,6.0,3.0,0.0,3.24,1.74,4.98,27.37,1.08,0.0,0.0,0.0
56,57.0,216.0,35.0,0.0,1935.0,5.0,7.0,0.0,4.26,0.53,4.79,25.18,0.59,0.0,0.0,0.0
57,58.0,202.0,45.0,0.0,1935.0,4.0,6.0,0.0,7.16,-2.44,4.72,28.84,3.18,0.0,0.0,0.0
58,59.0,203.0,45.0,0.0,1935.0,3.0,7.0,0.0,3.31,1.26,4.57,24.7,-1.12,0.0,0.0,0.0
59,60.0,231.0,35.0,0.0,1935.0,5.0,3.0,1.0,2.64,1.52,4.16,24.65,0.8,0.0,0.0,0.0
60,61.0,30.0,24.0,0.0,1935.0,6.0,5.0,0.0,1.03,2.88,3.91,20.88,-2.6,0.0,0.0,0.0
61,62.0,130.0,55.0,0.0,1935.0,4.0,4.0,0.0,1.29,2.03,3.32,22.58,0.2,0.0,0.0,0.0
62,63.0,200.0,41.0,0.0,1935.0,4.0,5.0,0.0,4.37,-1.11,3.26,25.23,-0.7,0.0,0.0,0.0
63,64.0,101.0,11.0,0.0,1935.0,4.0,4.0,1.0,1.96,1.19,3.15,24.43,2.13,0.0,0.0,0.0
64,65.0,220.0,40.0,0.0,1935.0,5.0,2.0,1.0,2.78,0.17,2.95,25.25,4.22,0.0,0.0,0.0
65,66.0,219.0,40.0,0.0,1935.0,4.0,3.0,1.0,4.48,-1.78,2.71,27.55,3.8,0.0,0.0,0.0
66,67.0,42.0,40.0,0.0,1935.0,5.0,4.0,0.0,-0.03,2.18,2.15,22.39,-0.49,0.0,0.0,0.0
67,68.0,122.0,47.0,0.0,1935.0,7.0,2.0,2.0,0.21,1.8,2.01,19.75,0.83,0.0,0.0,0.0
68,69.0,149.0,47.0,0.0,1935.0,6.0,4.0,0.0,-1.27,3.24,1.97,18.6,-1.54,0.0,0.0,0.0
69,70.0,116.0,24.0,0.0,1935.0,6.0,5.0,0.0,0.27,1.67,1.95,22.57,0.27,0.0,0.0,0.0
70,71.0,35.0,55.0,0.0,1935.0,4.0,4.0,0.0,3.62,-1.97,1.65,23.95,3.54,0.0,0.0,0.0
71,72.0,58.0,24.0,0.0,1935.0,6.0,3.0,0.0,-0.54,2.1,1.56,19.09,-0.52,0.0,0.0,0.0
72,73.0,136.0,11.0,0.0,1935.0,3.0,3.0,3.0,-1.03,2.55,1.52,20.32,-0.21,0.0,0.0,0.0
73,74.0,144.0,7.0,0.0,1935.0,7.0,1.0,2.0,0.51,1.0,1.51,24.27,1.44,0.0,0.0,0.0
74,75.0,102.0,11.0,0.0,1935.0,2.0,4.0,3.0,-4.31,5.51,1.2,15.94,-4.41,0.0,0.0,0.0
75,76.0,73.0,24.0,0.0,1935.0,6.0,3.0,0.0,0.54,0.23,0.76,23.28,4.44,0.0,0.0,0.0
